"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Mar 08 14:15:51 MSK 2022","Tue Mar 08 14:15:54 MSK 2022","3335","","Тестирование сайта корма для домашних животных","","TestClass","countProductIsNull","Тест №3 [5] 1000","Тест прогоняет граничные значания для количества заказов в поле заказов"
"passed","Tue Mar 08 14:15:18 MSK 2022","Tue Mar 08 14:15:22 MSK 2022","4577","","Тестирование сайта корма для домашних животных","","TestClass","CheckCountOrder","Тест №2","Тест проверяет проверяет количество товара на иконке при разовом нажатии ""Добавить в корзину"""
"passed","Tue Mar 08 14:15:44 MSK 2022","Tue Mar 08 14:15:47 MSK 2022","3349","","Тестирование сайта корма для домашних животных","","TestClass","countProductIsNull","Тест №3 [3] 1","Тест прогоняет граничные значания для количества заказов в поле заказов"
"passed","Tue Mar 08 14:15:32 MSK 2022","Tue Mar 08 14:15:37 MSK 2022","5037","","Тестирование сайта корма для домашних животных","","TestClass","inputForm","Тест №6","Тест проверяет возможность отправки формы при вводе валидных значений"
"passed","Tue Mar 08 14:15:37 MSK 2022","Tue Mar 08 14:15:41 MSK 2022","3621","","Тестирование сайта корма для домашних животных","","TestClass","countProductIsNull","Тест №3 [1] -1","Тест прогоняет граничные значания для количества заказов в поле заказов"
"passed","Tue Mar 08 14:15:41 MSK 2022","Tue Mar 08 14:15:44 MSK 2022","3332","","Тестирование сайта корма для домашних животных","","TestClass","countProductIsNull","Тест №3 [2] 0","Тест прогоняет граничные значания для количества заказов в поле заказов"
"passed","Tue Mar 08 14:15:47 MSK 2022","Tue Mar 08 14:15:51 MSK 2022","3327","","Тестирование сайта корма для домашних животных","","TestClass","countProductIsNull","Тест №3 [4] 999","Тест прогоняет граничные значания для количества заказов в поле заказов"
"passed","Tue Mar 08 14:15:29 MSK 2022","Tue Mar 08 14:15:32 MSK 2022","3149","","Тестирование сайта корма для домашних животных","","TestClass","ProductIntoBasket","Тест №1","Тест проверяет возможность пользователя добавить товар в корзину"
"passed","Tue Mar 08 14:15:26 MSK 2022","Tue Mar 08 14:15:29 MSK 2022","3269","","Тестирование сайта корма для домашних животных","","TestClass","deleteProductFromBasketButtonMinus","Тест №4","Тест проверяет возможность пользователя удалять товар из корзины с помощью кнопки /'минус/' "
"passed","Tue Mar 08 14:15:22 MSK 2022","Tue Mar 08 14:15:26 MSK 2022","3343","","Тестирование сайта корма для домашних животных","","TestClass","deleteProductFromBasketButtonDelete","Тест №5","Тест проверяет возможность пользователя удалять товар из корзины с помощью кнопки /'крестик/' "
